PROJECT_ID	TYPE	STATUS	???	???	???	OBJECTIVE	START_DATE	END_DATE	SECTOR	SUB_SECTOR	???	???
BRA/98/004-A015	Cooperação Sul-Sul	Concluído	Disseminação da Metodologia Desenvolvida pela Pastoral da Criança do Brasil de Combate à Mortalidade Infantil aos Países da América Latina.	Conferência de Religiosos do Brasil - CRA || Pastoral da Criança do Brasil - PC	Disseminação da Metodologia Desenvolvida pela Pastoral da Criança do Brasil de Combate à Mortalidade Infantil aos Países da América Latina.		25/08/2002	27/10/2002	 Desenvolvimento Social	 Combate à mortalidade infantil	Conferência de Religiosos do Brasil - CRA || Pastoral da Criança do Brasil - PC	BRA/98/004-A015 - Disseminação da Metodologia Desenvolvida pela Pastoral da Criança do Brasil de Combate à Mortalidade Infantil aos Países da América Latina.
BRA/98/004-S043	Cooperação Sul-Sul	Concluído	Proyecto Bolsa-Escola en Guatemala	Missão Criança - MISSÃO CRIANÇA	Proyecto Bolsa-Escola en Guatemala		01/09/2002	30/11/2005	 Educação	 Políticas Públicas	Missão Criança - MISSÃO CRIANÇA	BRA/98/004-S043 - Proyecto Bolsa-Escola en Guatemala
BRA/98/004-A014	Cooperação Sul-Sul	Concluído	Estabelecimento de um modelo metodológico de geração e transferência de tecnologia agropecuária aplicada às diferentes zonas de influência da EI.I.AG de Rivas.	Universidade Federal de Viçosa (Brasil) - UFV	Estabelecimento de um modelo metodológico de geração e transferência de tecnologia agropecuária aplicada às diferentes zonas de influência da EI.I.AG de Rivas.		22/09/2002	06/10/2002	 Pecuária	 Pesquisa	Universidade Federal de Viçosa (Brasil) - UFV	BRA/98/004-A014 - Estabelecimento de um modelo metodológico de geração e transferência de tecnologia agropecuária aplicada às diferentes zonas de influência da EI.I.AG de Rivas.
BRA/98/004-A002	Cooperação Sul-Sul	Concluído	"Seminário: I Curso Internacional sobre Produção de Frutas Tropicais. ""Programa de Parceria Brasil-Japão(JBPP)"""	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA	"Seminário: I Curso Internacional sobre Produção de Frutas Tropicais. ""Programa de Parceria Brasil-Japão(JBPP)"""	 Permitir a participação e a capacitação de técnicos dos países convidados (Angola, Cabo Verde, Guiné-Bissau, Moçambique, São Tomé e Príncipe e Timor Leste) na área de produção de frutas tropicais.	14/10/2002	08/11/2002	 Seminário	 Curso Internacional	Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA	"BRA/98/004-A002 - Seminário: I Curso Internacional sobre Produção de Frutas Tropicais. ""Programa de Parceria Brasil-Japão(JBPP)"""
BRA/98/004-A012	Cooperação Sul-Sul	Concluído	Esporte Educacional	Projeto Santo Amaro (Brasil) - PSA || Universidade Federal de Pernambuco. - UFPE	Esporte Educacional	 Desenvolver ações sócio educativas para promover regorço escolar nas áreas de educação para a saúde, arte e educação, reforço alimentar e esporte.	01/11/2002	31/12/2002	 Esporte	 Educação de Crianças e Adolescentes	Projeto Santo Amaro (Brasil) - PSA || Universidade Federal de Pernambuco. - UFPE	BRA/98/004-A012 - Esporte Educacional
BRA/98/004-S045	Cooperação Sul-Sul	Concluído	Diplomado en Banca Comercial	Banco Central do Brasil - BACEN	Diplomado en Banca Comercial		08/11/2002	24/10/2003	 Administração Pública	 Sistema Financeiro	Banco Central do Brasil - BACEN	BRA/98/004-S045 - Diplomado en Banca Comercial
BRA/98/004-A006	Cooperação Sul-Sul	Concluído	"Seminário Mercosul -República Coréia -"" Tecnologia da Informação : Oportunidades de Parcerias e Cooperação Técnica""."		"Seminário Mercosul -República Coréia -"" Tecnologia da Informação : Oportunidades de Parcerias e Cooperação Técnica""."		19/11/2002	20/11/2002	 Ciência e Tecnologia	 Ciência da Informação		"BRA/98/004-A006 - Seminário Mercosul -República Coréia -"" Tecnologia da Informação : Oportunidades de Parcerias e Cooperação Técnica""."
BRA/98/004-A008	Cooperação Sul-Sul	Concluído	Capacitação para Guarda-Parques nas áreas protegidas de Cabo Verde.	Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável-Minas Gerais - SEMAD/MG	Capacitação para Guarda-Parques nas áreas protegidas de Cabo Verde.		01/12/2002	31/12/2002	 Educação	 Formação Profissional	Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável-Minas Gerais - SEMAD/MG	BRA/98/004-A008 - Capacitação para Guarda-Parques nas áreas protegidas de Cabo Verde.
BRA/98/004-A010	Cooperação Sul-Sul	Concluído	Fortalecimento do sistema de formação profissional do Instituto de Emprego e formação Profissional do Ministério do Trabalho e Solidariedade de Cabo Verde	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	Fortalecimento do sistema de formação profissional do Instituto de Emprego e formação Profissional do Ministério do Trabalho e Solidariedade de Cabo Verde		01/01/2003	30/06/2003	 Educação	 Políticas Públicas	Serviço Nacional de aprendizagem Industrial (Brasil) - SENAI	BRA/98/004-A010 - Fortalecimento do sistema de formação profissional do Instituto de Emprego e formação Profissional do Ministério do Trabalho e Solidariedade de Cabo Verde
BRA/98/004-S046	Cooperação Sul-Sul	Concluído	Proyecto Bolsa Escola en el Salvador	Missão Criança - MISSÃO CRIANÇA	Proyecto Bolsa Escola en el Salvador		20/03/2003	31/12/2004	 Educação	 Políticas Públicas	Missão Criança - MISSÃO CRIANÇA	BRA/98/004-S046 - Proyecto Bolsa Escola en el Salvador
BRA/98/004-S054	Cooperação Sul-Sul	Concluído	Recuperação Ambiental da Região de Huaypetuhe.	Departamento Nacional de Produção Mineral - DNPM	Recuperação Ambiental da Região de Huaypetuhe.		25/03/2003	25/08/2005	 Meio Ambiente	 Recuperação de Áreas Degradadas	Departamento Nacional de Produção Mineral - DNPM	BRA/98/004-S054 - Recuperação Ambiental da Região de Huaypetuhe.
