jornal	pagina	data	url	pdf_name	txt_name
2	3	2006-10-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=23/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=23%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=23%2F10%2F2006&captchafield=firistAccess.txt
2	3	2006-10-24	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=24/10/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=24%2F10%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=24%2F10%2F2006&captchafield=firistAccess.txt
1	49	2006-06-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=49&data=23/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=49&data=23%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=49&data=23%2F06%2F2006&captchafield=firistAccess.txt
1	50	2006-06-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=50&data=23/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=50&data=23%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=50&data=23%2F06%2F2006&captchafield=firistAccess.txt
1	51	2006-06-02	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=51&data=02/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=51&data=02%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=51&data=02%2F06%2F2006&captchafield=firistAccess.txt
1	51	2006-06-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=51&data=23/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=51&data=23%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=51&data=23%2F06%2F2006&captchafield=firistAccess.txt
1	52	2006-06-02	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=52&data=02/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=52&data=02%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=52&data=02%2F06%2F2006&captchafield=firistAccess.txt
1	52	2006-06-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=52&data=23/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=52&data=23%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=52&data=23%2F06%2F2006&captchafield=firistAccess.txt
1	53	2006-06-23	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=53&data=23/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=53&data=23%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=53&data=23%2F06%2F2006&captchafield=firistAccess.txt
1	54	2006-06-02	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=54&data=02/06/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=54&data=02%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=54&data=02%2F06%2F2006&captchafield=firistAccess.txt
3	191	2006-06-30	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=191&data=30/06/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=191&data=30%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=191&data=30%2F06%2F2006&captchafield=firistAccess.txt
3	1	2006-06-08	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=1&data=08/06/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=1&data=08%2F06%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=1&data=08%2F06%2F2006&captchafield=firistAccess.txt
1	77	2006-03-27	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=77&data=27/03/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=77&data=27%2F03%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=77&data=27%2F03%2F2006&captchafield=firistAccess.txt
1	78	2006-03-15	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=1&pagina=78&data=15/03/2006&captchafield=firistAccess	INPDFViewer?jornal=1&pagina=78&data=15%2F03%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=1&pagina=78&data=15%2F03%2F2006&captchafield=firistAccess.txt
2	28	2006-04-04	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=28&data=04/04/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=28&data=04%2F04%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=28&data=04%2F04%2F2006&captchafield=firistAccess.txt
2	3	2006-04-17	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=17/04/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=17%2F04%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=17%2F04%2F2006&captchafield=firistAccess.txt
2	3	2006-03-21	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=2&pagina=3&data=21/03/2006&captchafield=firistAccess	INPDFViewer?jornal=2&pagina=3&data=21%2F03%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=2&pagina=3&data=21%2F03%2F2006&captchafield=firistAccess.txt
3	111	2006-04-20	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=111&data=20/04/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=111&data=20%2F04%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=111&data=20%2F04%2F2006&captchafield=firistAccess.txt
3	23	2006-03-27	http://pesquisa.in.gov.br/imprensa/servlet/INPDFViewer?jornal=3&pagina=23&data=27/03/2006&captchafield=firistAccess	INPDFViewer?jornal=3&pagina=23&data=27%2F03%2F2006&captchafield=firistAccess.pdf	INPDFViewer?jornal=3&pagina=23&data=27%2F03%2F2006&captchafield=firistAccess.txt
